,0,1,2
0,ABOUT1_BFSA1c2a_1630_1990.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT1/ABOUT1_BFSA1c2a_1630_1990.mp4,0
1,ABOUT1_BRCA1c2a_27365_27645.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT1/ABOUT1_BRCA1c2a_27365_27645.mp4,0
2,ABOUT1_BRCA1c2a_29505_29985.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT1/ABOUT1_BRCA1c2a_29505_29985.mp4,0
3,ABOUT1_SBS1A3c7a_950_1280.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT1/ABOUT1_SBS1A3c7a_950_1280.mp4,3
4,ABOUT2_AAPB2c7a_310_800.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AAPB2c7a_310_800.mp4,2
5,ABOUT2_AJPB1c2b_2490_2650.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AJPB1c2b_2490_2650.mp4,0
6,ABOUT2_AJPB2c7a_1135_2270.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AJPB2c7a_1135_2270.mp4,3
7,ABOUT2_AMGA1c2a_1580_1820.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AMGA1c2a_1580_1820.mp4,1
8,ABOUT2_AMGA1c2a_730_1170.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AMGA1c2a_730_1170.mp4,3
9,ABOUT2_AMW2A1c2b_890_1020.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AMW2A1c2b_890_1020.mp4,1
10,ABOUT2_BCHA2c7a_4470_5330.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_BCHA2c7a_4470_5330.mp4,0
11,ABOUT2_BCHA2c7a_5750_6050.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_BCHA2c7a_5750_6050.mp4,0
12,ABOUT2_BDLA1c2a_1800_2290.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_BDLA1c2a_1800_2290.mp4,0
13,ABOUT2_BMKB2c7a_1010_1700.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_BMKB2c7a_1010_1700.mp4,4
14,ABOUT2_BRCA1c2a_9460_9980.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_BRCA1c2a_9460_9980.mp4,0
15,ABOUT2_MBHA1c2a_4750_5175.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MBHA1c2a_4750_5175.mp4,4
16,ABOUT2_MFKA1c2a_6180_6460.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MFKA1c2a_6180_6460.mp4,2
17,ABOUT2_MGCA1c2b_4880_5510.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MGCA1c2b_4880_5510.mp4,4
18,ABOUT2_MGCA1c2b_52725_53635.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MGCA1c2b_52725_53635.mp4,4
19,ABOUT2_MGCA1c2b_5840_6150.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MGCA1c2b_5840_6150.mp4,2
20,ABOUT2_MTDBA2c7a_1290_2190.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MTDBA2c7a_1290_2190.mp4,4
21,ABOUT2_PGMB1c2a_1230_2110.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_PGMB1c2a_1230_2110.mp4,4
22,ABOUT2_PJEB1c2a_2500_3100.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_PJEB1c2a_2500_3100.mp4,4
23,ABOUT2_PNAA1c2b_1880_2660.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_PNAA1c2b_1880_2660.mp4,4
24,ABOUT2_SBS1A1c2b_7320_7630.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_SBS1A1c2b_7320_7630.mp4,2
25,ABOUT2_SPKA1c2a_171110_171409.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_SPKA1c2a_171110_171409.mp4,1
26,ABOUT2_STMB1c2a_13650_13800.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_STMB1c2a_13650_13800.mp4,1
27,ABOUT2_STMB1c2a_3370_3770.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_STMB1c2a_3370_3770.mp4,3
28,ABOUT2_STMB1c2a_4620_4790.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_STMB1c2a_4620_4790.mp4,2
29,ABOUT2(7)_BAPB1c2b_1090_2260.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2(7)/ABOUT2(7)_BAPB1c2b_1090_2260.mp4,4
30,ABOUT2(B)_BAOBB1c2a_3006_3406.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2(B)/ABOUT2(B)_BAOBB1c2a_3006_3406.mp4,0
31,ABOUT2(FALSE-START)_MTDBA2c7a_780_980.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2(FALSE-START)/ABOUT2(FALSE-START)_MTDBA2c7a_780_980.mp4,1
32,ACCEPT_SASA1c2b_40478_41228.mp4,D:/Thesis/Video-Auslan-sorted/ACCEPT/ACCEPT_SASA1c2b_40478_41228.mp4,4
33,ACCOMMODATION-2H_AAM2A2c6iv_1220_2000.mp4,D:/Thesis/Video-Auslan-sorted/ACCOMMODATION-2H/ACCOMMODATION-2H_AAM2A2c6iv_1220_2000.mp4,4
34,ACCURATE_AAM1A2c6ii_67410_68030.mp4,D:/Thesis/Video-Auslan-sorted/ACCURATE/ACCURATE_AAM1A2c6ii_67410_68030.mp4,3
35,ACCURATE_AAM2A2c6ii_43510_43990.mp4,D:/Thesis/Video-Auslan-sorted/ACCURATE/ACCURATE_AAM2A2c6ii_43510_43990.mp4,3
36,ACCURATE_AAM2A2c6ii_47280_47740.mp4,D:/Thesis/Video-Auslan-sorted/ACCURATE/ACCURATE_AAM2A2c6ii_47280_47740.mp4,2
37,ACHIEVE_AMW2A2c7a_125161_125511.mp4,D:/Thesis/Video-Auslan-sorted/ACHIEVE/ACHIEVE_AMW2A2c7a_125161_125511.mp4,2
38,ACHIEVE_MKB1B2c7a_292344_292644.mp4,D:/Thesis/Video-Auslan-sorted/ACHIEVE/ACHIEVE_MKB1B2c7a_292344_292644.mp4,0
39,ACHIEVE_SLRB2c7a_181790_182010.mp4,D:/Thesis/Video-Auslan-sorted/ACHIEVE/ACHIEVE_SLRB2c7a_181790_182010.mp4,2
40,ACHIEVE_SSSB2c6ii_5680_6010.mp4,D:/Thesis/Video-Auslan-sorted/ACHIEVE/ACHIEVE_SSSB2c6ii_5680_6010.mp4,2
41,ACTIVITY-THERE_MSLB2c6iii_16840_17740.mp4,D:/Thesis/Video-Auslan-sorted/ACTIVITY-THERE/ACTIVITY-THERE_MSLB2c6iii_16840_17740.mp4,4
42,ADULT_SATA2c7a_80010_80330.mp4,D:/Thesis/Video-Auslan-sorted/ADULT/ADULT_SATA2c7a_80010_80330.mp4,2
43,AFRAID_AVBB2c7a_46990_47340.mp4,D:/Thesis/Video-Auslan-sorted/AFRAID/AFRAID_AVBB2c7a_46990_47340.mp4,0
44,AFRAID_BGMQB2c7a_82100_82330.mp4,D:/Thesis/Video-Auslan-sorted/AFRAID/AFRAID_BGMQB2c7a_82100_82330.mp4,1
45,AFRAID_MVSB2c7a_57330_58070.mp4,D:/Thesis/Video-Auslan-sorted/AFRAID/AFRAID_MVSB2c7a_57330_58070.mp4,3
46,AFTERNOON_BGMQB1c2a_23048_23498.mp4,D:/Thesis/Video-Auslan-sorted/AFTERNOON/AFTERNOON_BGMQB1c2a_23048_23498.mp4,2
47,AFTERNOON_BGMQB1c2a_30210_30548.mp4,D:/Thesis/Video-Auslan-sorted/AFTERNOON/AFTERNOON_BGMQB1c2a_30210_30548.mp4,3
48,AFTERNOON_BGMQB1c2a_31786_32028.mp4,D:/Thesis/Video-Auslan-sorted/AFTERNOON/AFTERNOON_BGMQB1c2a_31786_32028.mp4,1
