,0,1,2,3
0,AGAIN_SASA2c7a_91890_92050.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SASA2c7a_91890_92050.mp4,4,10.689873417721518
1,AGAIN_SGMB1c2a_49780_50510.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SGMB1c2a_49780_50510.mp4,18,11.873873873873874
2,AGAIN_SGMB1c2a_88595_88950.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SGMB1c2a_88595_88950.mp4,9,11.873873873873874
3,AGAIN_SLRB1c2b_26330_26550.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SLRB1c2b_26330_26550.mp4,5,15.80625
4,AGAIN_SMGB1c2a_121717_122687.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SMGB1c2a_121717_122687.mp4,25,16.389312977099237
5,AGAIN_SMGB1c2a_74552_74982.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SMGB1c2a_74552_74982.mp4,11,16.389312977099237
6,AGAIN_SNCB2c2a_118480_118740.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SNCB2c2a_118480_118740.mp4,6,18.468354430379748
7,AGAIN_SNCB2c2a_121190_122050.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SNCB2c2a_121190_122050.mp4,22,18.468354430379748
8,AGAIN_SNCB2c2a_123010_124780.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SNCB2c2a_123010_124780.mp4,44,18.468354430379748
9,AGAIN_SNCB2c2a_127270_127470.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SNCB2c2a_127270_127470.mp4,5,18.468354430379748
10,AGAIN_SNCB2c2a_128470_129710.mp4,D:/Thesis/Video-Auslan-sorted/AGAIN/AGAIN_SNCB2c2a_128470_129710.mp4,31,18.468354430379748
