,0,1,2,3,4
0,ABOUT1_SBS1A3c7a_950_1280.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT1/ABOUT1_SBS1A3c7a_950_1280.mp4,9,10.433333333333334,3
1,ABOUT2_AAPB2c7a_310_800.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AAPB2c7a_310_800.mp4,13,14.125,2
2,ABOUT2_AJPB2c7a_1135_2270.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AJPB2c7a_1135_2270.mp4,28,11.273684210526316,3
3,ABOUT2_AMGA1c2a_1580_1820.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AMGA1c2a_1580_1820.mp4,6,13.614035087719298,1
4,ABOUT2_AMGA1c2a_730_1170.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AMGA1c2a_730_1170.mp4,11,13.614035087719298,3
5,ABOUT2_AMW2A1c2b_890_1020.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_AMW2A1c2b_890_1020.mp4,3,16.685393258426966,1
6,ABOUT2_BMKB2c7a_1010_1700.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_BMKB2c7a_1010_1700.mp4,17,12.088235294117647,4
7,ABOUT2_MBHA1c2a_4750_5175.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MBHA1c2a_4750_5175.mp4,11,13.237623762376238,4
8,ABOUT2_MFKA1c2a_6180_6460.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MFKA1c2a_6180_6460.mp4,7,11.9009009009009,2
9,ABOUT2_MGCA1c2b_4880_5510.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MGCA1c2b_4880_5510.mp4,15,13.394495412844037,4
10,ABOUT2_MGCA1c2b_52725_53635.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MGCA1c2b_52725_53635.mp4,22,13.394495412844037,4
11,ABOUT2_MGCA1c2b_5840_6150.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MGCA1c2b_5840_6150.mp4,7,13.394495412844037,2
12,ABOUT2_MTDBA2c7a_1290_2190.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_MTDBA2c7a_1290_2190.mp4,22,5.090277777777778,4
13,ABOUT2_PGMB1c2a_1230_2110.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_PGMB1c2a_1230_2110.mp4,22,20.087912087912088,4
14,ABOUT2_PJEB1c2a_2500_3100.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_PJEB1c2a_2500_3100.mp4,15,1.2765957446808511,4
15,ABOUT2_PNAA1c2b_1880_2660.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_PNAA1c2b_1880_2660.mp4,19,20.45,4
16,ABOUT2_SBS1A1c2b_7320_7630.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_SBS1A1c2b_7320_7630.mp4,7,10.543478260869565,2
17,ABOUT2_SPKA1c2a_171110_171409.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_SPKA1c2a_171110_171409.mp4,8,14.893939393939394,1
18,ABOUT2_STMB1c2a_13650_13800.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_STMB1c2a_13650_13800.mp4,4,9.945,1
19,ABOUT2_STMB1c2a_3370_3770.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_STMB1c2a_3370_3770.mp4,10,9.945,3
20,ABOUT2_STMB1c2a_4620_4790.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2/ABOUT2_STMB1c2a_4620_4790.mp4,4,9.945,2
21,ABOUT2(7)_BAPB1c2b_1090_2260.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2(7)/ABOUT2(7)_BAPB1c2b_1090_2260.mp4,29,23.36904761904762,4
22,ABOUT2(FALSE-START)_MTDBA2c7a_780_980.mp4,D:/Thesis/Video-Auslan-sorted/ABOUT2(FALSE-START)/ABOUT2(FALSE-START)_MTDBA2c7a_780_980.mp4,5,5.090277777777778,1
23,ACCEPT_SASA1c2b_40478_41228.mp4,D:/Thesis/Video-Auslan-sorted/ACCEPT/ACCEPT_SASA1c2b_40478_41228.mp4,19,15.552238805970148,4
24,ACCOMMODATION-2H_AAM2A2c6iv_1220_2000.mp4,D:/Thesis/Video-Auslan-sorted/ACCOMMODATION-2H/ACCOMMODATION-2H_AAM2A2c6iv_1220_2000.mp4,20,14.955882352941176,4
25,ACCURATE_AAM1A2c6ii_67410_68030.mp4,D:/Thesis/Video-Auslan-sorted/ACCURATE/ACCURATE_AAM1A2c6ii_67410_68030.mp4,15,12.745762711864407,3
26,ACCURATE_AAM2A2c6ii_43510_43990.mp4,D:/Thesis/Video-Auslan-sorted/ACCURATE/ACCURATE_AAM2A2c6ii_43510_43990.mp4,12,15.0,3
27,ACCURATE_AAM2A2c6ii_47280_47740.mp4,D:/Thesis/Video-Auslan-sorted/ACCURATE/ACCURATE_AAM2A2c6ii_47280_47740.mp4,11,15.0,2
